SYMBOL,NAME,INDUSTRY,MARKET_CAP
AKRO,Akero Therapeutics,Biotechnology,475278197
AKTS,Akoustis Technologies,"Electronic Equipment, Instruments & C...",273658077
AKTX,Akari Therapeutics,Pharmaceuticals,89023800
AKU,Akumin,Diagnostics & Research,68927703
AKUS,Akouos,Biotechnology,97992143
AKYA,Akoya Biosciences,Medical Instruments & Supplies,578994298
AL,Air Lease,Trading Companies & Distributors,4354728957
ALB,Albemarle,Chemicals,31121176362
ALBO,Albireo Pharma,Biotechnology,444186269
ALC,Alcon,Medical Instruments & Supplies,34090450885
ALCC,AltC Acquisition,Blank Check / SPAC,621594038
ALCO,Alico,Food Products,256295085
ALDX,Aldeyra Therapeutics,Biotechnology,407678462
ALE,ALLETE,Electric Utilities,3548737022
ALEC,Alector,Biotechnology,1045258999
ALEX,Alexander & Baldwin,Equity Real Estate Investment Trusts ...,1439083263
ALF,"ALFI, Inc.",Software-Infrastructure,23176656
ALG,Alamo Group,Machinery,1651455123
ALGM,Allegro MicroSystems,Semiconductors & Semiconductor Equipment,4930940909
ALGN,Align Technology,Health Care Equipment & Supplies,22446735090
ALGS,Aligos Therapeutics,Biotechnology,59933019
ALGT,Allegiant Travel Company,Airlines,1945762618
ALHC,Alignment Healthcare,Health Care Providers & Services,3014853880
ALIM,Alimera Sciences,Pharmaceuticals,47359257
ALIT,Alight,Software-Application,4730738174
ALJJ,ALJ Regional Holdings,IT Services,85241687
ALK,Alaska Air Group,Airlines,5860345811
ALKS,Alkermes,Biotechnology,4183549176
ALKT,Alkami Technology,Software-Application,1445653236
ALL,The Allstate Corporation,Insurance,34311374747
ALLE,Allegion,Building Products,9032381437
ALLG,Allego,Auto Parts,1252423680
ALLK,Allakos,Biotechnology,197438749
ALLO,Allogene Therapeutics,Biotechnology,2382882039
ALLR,Allarity Therapeutics,Biotechnology,11182324
ALLT,Allot,Software,198352703
ALLY,Ally Financial,Consumer Finance,11011434486
ALNA,Allena Pharmaceuticals,Biotechnology,13745709
ALNY,Alnylam Pharmaceuticals,Biotechnology,27532992383
ALOR,ALSP Orchid Acquisition I,Blank Check / SPAC,225449304
ALOT,AstroNova,"Technology Hardware, Storage & Periph...",88553366
ALPA,Alpha Healthcare Acquisition III,Blank Check / SPAC,192550040
ALPN,Alpine Immune Sciences,Biotechnology,260218521
ALPP,Alpine 4 Holdings,Metal Fabrication,165853631
ALR,AlerisLife,Medical Care Facilities,40798000
ALRM,Alarm.com Holdings,Software,3772575435
ALRN,Aileron Therapeutics,Biotechnology,19663309
ALRS,Alerus Financial,Diversified Financial Services,491680175
ALSA,Alpha Star Acquisition,Blank Check / SPAC,146902940
ALSN,Allison Transmission Holdings,Machinery,3766106363
ALT,Altimmune,Biotechnology,595131124
ALTG,Alta Equipment Group,Trading Companies & Distributors,428068246
ALTO,Alto Ingredients,"Oil, Gas & Consumable Fuels",368027230
ALTR,Altair Engineering,Software,4422623728
ALTU,Altitude Acquisition,Blank Check / SPAC,373124990
ALV,Autoliv,Auto Components,7345144791
ALVR,AlloVir,Biotechnology,619802237
ALX,Alexander's,Equity Real Estate Investment Trusts ...,1322685964
ALXO,ALX Oncology Holdings,Biotechnology,528897332
ALYA,Alithya Group,IT Services,227563598
ALZN,Alzamend Neuro,Biotechnology,96436615
AM,Antero Midstream,"Oil, Gas & Consumable Fuels",4966393853
AMAL,Amalgamated Financial,Banks,733455150
AMAM,Ambrx Biopharma,Biotechnology,89911431
AMAO,American Acquisition Opportunity,Blank Check / SPAC,43234934
AMAT,Applied Materials,Semiconductors & Semiconductor Equipment,99331588020
AMBA,Ambarella,Semiconductors & Semiconductor Equipment,3377822149
AMBC,Ambac Financial Group,Insurance,655559096
AMBO,Ambow Education Holding,Diversified Consumer Services,9633535
AMBP,Ardagh Metal Packaging,Packaging & Containers,3909526527
AMC,AMC Entertainment Holdings,Entertainment,13069380603
AMCI,AMCI Acquisition II,Blank Check / SPAC,184500000
AMCR,Amcor,Containers & Packaging,18979985403
AMCX,AMC Networks,Media,1307738852
AMD,Advanced Micro Devices,Semiconductors & Semiconductor Equipment,1.58397E+11
AME,AMETEK,Electrical Equipment,29197729785
AMED,Amedisys,Health Care Providers & Services,3972681962
AMEH,Apollo Medical Holdings,Health Care Providers & Services,2238477044
AMG,Affiliated Managers Group,Capital Markets,5209125291
AMGN,Amgen,Biotechnology,1.3285E+11
AMH,American Homes 4 Rent,Equity Real Estate Investment Trusts ...,15110436826
AMK,AssetMark Financial Holdings,Capital Markets,1539060341
AMKR,Amkor Technology,Semiconductors & Semiconductor Equipment,5366849003
AMLX,Amylyx Pharmaceuticals,Biotechnology,1521863148
AMN,AMN Healthcare Services,Health Care Providers & Services,4905381822
AMNB,American National Bankshares,Banks,373229500
AMOT,Allied Motion Technologies,Electrical Equipment,555086142
AMOV,America Movil,Wireless Telecommunication Services,61201461232
AMP,Ameriprise Financial,Capital Markets,30645591969
AMPE,Ampio Pharmaceuticals,Pharmaceuticals,23533849
AMPG,AmpliTech Group,Communication Equipment,23977726
AMPH,Amphastar Pharmaceuticals,Pharmaceuticals,1529349367
AMPI,Advanced Merger Partners,Blank Check / SPAC,353265625
AMPL,Amplitude,Software-Application,2024895228
AMPS,Altus Power,Utilities-Renewable,1381584635
AMPY,Amplify Energy,Oil & Gas E&P,273698496
AMR,Alpha Metallurgical Resources,"Oil, Gas & Consumable Fuels",2503678932
AMRC,Ameresco,Construction & Engineering,3613859577
AMRK,A-Mark Precious Metals,Diversified Financial Services,829986414
AMRN,Amarin,Biotechnology,649161663
AMRS,Amyris,Chemicals,1007099071
AMRX,Amneal Pharmaceuticals,Pharmaceuticals,886292991
AMS,American Shared Hospital Services,Health Care Providers & Services,15197500
AMSC,American Superconductor,Electrical Equipment,161684686
AMSF,AMERISAFE,Insurance,932959920
AMST,Amesite,Software-Application,14158924
AMSWA,American Software,Software,703948656
AMT,American Tower,Equity Real Estate Investment Trusts ...,1.27548E+11
AMTB,Amerant Bancorp,Banks,969726128
